Date,Event,NAV ($),Eligible (>MA200),INOD_MA200,DUOT_MA200,BABA_MA200,AI_MA200,INOD_MA60,DUOT_MA60,BABA_MA60,AI_MA60,INOD_Momentum,DUOT_Momentum,BABA_Momentum,AI_Momentum,Rank1 (50%),Rank2 (30%),Rank3 (20%),Cash Reserve ($),Deployed (%)
2021-06-30,REBALANCE,1004.48,NONE (all cash),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,+nan%,+nan%,+nan%,+nan%,—,—,—,1004.48,0.0%
2021-09-30,REBALANCE,1017.62,NONE (all cash),N/A,N/A,N/A,N/A,7.71,7.04,170.7,50.21,+nan%,+nan%,+nan%,+nan%,—,—,—,1017.62,0.0%
2021-12-31,REBALANCE,1030.93,NONE (all cash),N/A,N/A,N/A,N/A,8.01,5.71,138.49,40.24,+nan%,+nan%,+nan%,+nan%,—,—,—,1030.93,0.0%
2022-03-31,REBALANCE,1043.99,NONE (all cash),7.24,6.37,143.88,39.79,5.87,5.47,109.26,23.83,+nan%,+nan%,+nan%,+nan%,—,—,—,1043.99,0.0%
2022-06-30,REBALANCE,1057.21,NONE (all cash),6.93,5.15,115.7,29.01,6.43,3.99,92.63,18.21,+nan%,+nan%,+nan%,+nan%,—,—,—,1057.21,0.0%
2022-09-30,REBALANCE,1071.04,NONE (all cash),5.56,4.58,98.51,20.87,4.33,4.03,88.95,17.83,+nan%,+nan%,+nan%,+nan%,—,—,—,1071.04,0.0%
2022-12-30,REBALANCE,1084.83,NONE (all cash),4.81,3.8,87.25,16.63,3.18,2.97,74.68,12.48,+nan%,+nan%,+nan%,+nan%,—,—,—,1084.83,0.0%
2023-03-31,REBALANCE,1098.57,"INOD, BABA, AI",4.41,3.58,87.81,17.02,5.74,3.68,95.2,20.79,+189.5%,+nan%,+14.6%,+208.0%,AI,INOD,BABA,0.0,100.0%
2023-04-04,TRAILING STOP — AI,1337.55,"Stop: AI closed @ $24.95  (HWM=$33.87, drawdown=26.3%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,408.24,—
2023-04-26,TRAILING STOP — INOD,1092.35,"Stop: INOD closed @ $6.54  (HWM=$8.58, drawdown=23.8%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,661.88,—
2023-05-02,TRAILING STOP — BABA,1013.04,"Stop: BABA closed @ $77.43  (HWM=$97.57, drawdown=20.6%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,837.73,—
2023-06-30,REBALANCE,844.73,"INOD, DUOT, AI",5.83,3.77,83.95,19.9,9.33,4.68,82.74,28.13,+41.3%,+114.4%,+nan%,+31.8%,DUOT,INOD,AI,0.0,100.0%
2023-08-07,TRAILING STOP — DUOT,1193.21,"Stop: DUOT closed @ $5.44  (HWM=$7.00, drawdown=22.3%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,386.81,—
2023-08-09,TRAILING STOP — INOD,1005.98,"Stop: INOD closed @ $10.43  (HWM=$13.50, drawdown=22.7%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,620.26,—
2023-08-09,TRAILING STOP — AI,925.13,"Stop: AI closed @ $32.87  (HWM=$44.37, drawdown=25.9%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,772.69,—
2023-09-29,REBALANCE,778.36,"INOD, DUOT",8.36,4.48,88.07,26.35,11.24,5.6,87.28,33.11,-24.7%,-13.6%,+nan%,+nan%,DUOT,INOD,—,155.67,80.0%
2023-10-13,TRAILING STOP — INOD,850.37,"Stop: INOD closed @ $6.84  (HWM=$9.02, drawdown=24.2%)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,343.23,—
